time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.669258142063312e-08,-5.225660403785446e-08,10.004753099366013,6.283113086401645,6.283066900530713,0.0,8.748385993179022e-06,-5.609916542833357e-06,0.1584271276275841,-0.0037269988275133916,-0.006245720884341967,0.0,455.21505889858645,454.7151286420132,455.3056598752081,455.0074646758615
0.12000000000000001,4.307203647701141e-06,-2.7614949818717443e-06,10.017089322608038,6.282822978999381,6.282844905209071,0.0,0.00016201516999574475,-0.00011058492623586215,0.25276345733215005,-0.007149068226269019,0.0009593406657357043,0.0,435.73346410043,436.3353457645423,434.38056961359894,434.0936394911234
0.18,2.0312024751905876e-05,-1.476539812972953e-05,10.033520485318448,0.0010311491491385993,6.282830353571066,0.0,0.0003693579802810926,-0.00021591635139706113,0.2949316472417396,0.053409378174769234,-0.0027618624391084244,0.0,418.1070911308636,417.7828237280771,415.8630316877161,421.1334142197574
0.23999999999999996,5.18382477039393e-05,1.1205245076433594e-05,10.057565724272473,0.004133163138072327,6.282446457075569,0.0,0.0007126059325367557,0.001455543687302952,0.5065052073556666,0.04804328808040492,-0.01489896473105551,0.0,471.5114132892622,470.5730785670502,471.35150756531596,470.9382469328195
0.3,0.00011247795820546353,0.00019461666208651292,10.090902783221074,0.006863084592738211,6.282139940666102,0.0,0.001364694027922927,0.004944019586977511,0.6046812221593584,0.03985207223227357,0.009508303457969894,0.0,435.5607483031163,437.59696335841943,436.9777832491084,436.2957668539951
0.36000000000000004,0.00021530952969197977,0.0006535023689101495,10.13172173135439,0.009341944414173575,6.282550326454057,0.0,0.0020085150812105047,0.010618522837216489,0.7558601120666366,0.044088510224745116,0.0008824381250656398,0.0,453.61954219206586,452.9263338027756,453.06551718920593,453.4068197976821
0.4200000000000001,0.0003484763366754933,0.0014920924676292279,10.179896562163256,0.012106824031885566,6.282762388505521,0.0,0.0024164659591728124,0.01760764622136305,0.8498990765596636,0.049794433442606104,0.008371185849509351,0.0,435.52521695958353,436.1509702887163,435.1542977660444,435.63290880828316
0.48000000000000015,0.0005008555419709605,0.0028359100659739,10.235925094194606,0.01467424872750911,0.00017873217069563907,0.0,0.002600747269924277,0.027502581773032515,1.017579904684661,0.022644638058752966,0.013149888272240128,0.0,458.15251783140894,458.5321304534053,460.01509051922335,457.8613112576474
0.5400000000000001,0.000651054839440531,0.00475009749795905,10.297015664410463,0.015865907215196984,0.001092123922633803,0.0,0.002331257299873572,0.03641561524237357,1.0187695059310995,0.013614678208682425,0.01907687646499087,0.0,404.32957266824565,404.8630576609334,406.669672037929,405.8601264323337
0.6000000000000002,0.0007669262754711454,0.007225163156704462,10.358597006332017,0.016685114349957786,0.0026167338892957304,0.0,0.0014096786631045159,0.04615943793648595,1.0339266749582408,0.013730885137247427,0.03575677912580564,0.0,408.89633146808336,410.3795802592173,410.746430086336,410.7566367448537
0.6600000000000003,0.0007854271563530816,0.010363967578907807,10.42483793723235,0.018270373084790847,0.004935367313055217,0.0,-0.0010341004475844992,0.058603294827700304,1.1739672982458333,0.04410866826474594,0.043868437279562286,0.0,449.74693606622856,450.40408209745897,449.78205198490014,452.23542569050875
0.7200000000000003,0.0005932211367756557,0.014328603290622108,10.501518016468374,0.020993681465656167,0.00796893356063233,0.0,-0.00570874894168969,0.07386362054079144,1.38179890286635,0.047831803490055634,0.06138149714349471,0.0,471.51791548915776,472.8701979038376,470.2298427528164,470.51920981981476
0.7800000000000004,7.058369586421326e-05,0.019208219451749785,10.587572596878744,0.023861220467180644,0.011753142266243799,0.0,-0.012095088840918833,0.08908179942225622,1.486545865369294,0.04771325257527538,0.0662485167610129,0.0,439.8007066837012,440.2065218024887,440.7308906357244,440.72250141174857
0.8400000000000004,-0.0009659046948044335,0.025160200813189378,10.683991710868222,0.026838618966553263,0.015574731626037064,0.0,-0.022929850719433133,0.10966793105834616,1.7270766094124785,0.05319202414516873,0.05802088818803094,0.0,481.50937543035593,480.88920652826664,481.86432819562265,482.27960667402607
0.9000000000000005,-0.0027173286158262804,0.03237528735919739,10.793111062336024,0.029676989640445406,0.018720643035353923,0.0,-0.035828836424159335,0.13117542301050905,1.909930044751851,0.031684063028070406,0.03787727586371551,0.0,466.69793027046984,465.12472860008705,465.77143965601766,464.08761976672514
0.9600000000000005,-0.005311217808411704,0.04094254837708182,10.913242111622857,0.031075669178695975,0.020643504546655755,0.0,-0.050872483370544265,0.15459074289206187,2.0941065089915183,-0.004107572827172988,0.016628446508883267,0.0,468.14597829569533,466.4900738580639,466.9845719075591,464.18450414658747
1.0200000000000005,-0.008842461121178402,0.05093070921363666,11.044196556197903,0.03035401325899123,0.021865745192950925,0.0,-0.06695550607688446,0.17829192731881627,2.270704527772514,-0.03674172288246548,0.02696431425388684,0.0,464.5366853231585,465.34638811083033,466.07905259669434,463.5216556170984
1.0800000000000005,-0.01325751369322802,0.06216572825739052,11.180716010816488,0.028823781658529057,0.023313865780976606,0.0,-0.08034900391881061,0.19604718976782537,2.279925996019874,-0.009304409183558366,0.017774376607554657,0.0,412.5185533345942,411.7063972599955,411.5573230959152,413.97828161090644
1.1400000000000006,-0.018482254263898372,0.07442010732862382,11.31698858015053,0.028285263263515326,0.02499130464579924,0.0,-0.09393057569445284,0.21238559342600657,2.2625246717536163,-0.008325089269326683,0.04301263780652126,0.0,402.24497784945794,404.5242840361717,403.35441511094973,403.44295775333154
